transaction_id,user_id,amount,risk_score,model_decision,human_decision,is_fp_correction,timestamp
TXN0000001,U0488,5919.47,0.6875,REVIEW,ALLOW,1,2026-04-29 02:24:47
TXN0000001,U0488,5919.47,0.6875,REVIEW,ALLOW,1,2026-04-29 03:10:01
TXN0000001,U0488,5919.47,0.6875,REVIEW,ALLOW,1,2026-04-29 09:39:39
TXN0000001,U0488,5919.47,0.6875,REVIEW,SKIP,0,2026-04-29 12:36:56
TXN0000001,U0488,5919.47,0.6875,REVIEW,ALLOW,1,2026-05-11 11:33:40
TXN0000001,U0488,5919.47,0.6875,REVIEW,ALLOW,1,2026-05-11 12:57:21
TXN0000001,U0488,5919.47,0.6875,REVIEW,ALLOW,1,2026-05-11 13:21:47
TXN0000011,U0119,5379.97,0.4147,REVIEW,ALLOW,1,2026-04-29 02:24:22
TXN0000011,U0119,5379.97,0.4147,REVIEW,ALLOW,1,2026-04-29 03:10:00
TXN0000011,U0119,5379.97,0.4147,REVIEW,ALLOW,1,2026-04-29 09:44:42
TXN0000011,U0119,5379.97,0.4147,REVIEW,SKIP,0,2026-04-29 12:36:56
TXN0000011,U0119,5379.97,0.4147,REVIEW,BLOCK,0,2026-05-11 11:34:21
TXN0000011,U0119,5379.97,0.4147,REVIEW,ALLOW,1,2026-05-11 12:57:23
TXN0000011,U0119,5379.97,0.4147,REVIEW,ALLOW,1,2026-05-11 13:25:16
TXN0000037,U0142,31154.43,0.7475,BLOCK,ALLOW,1,2026-04-29 03:10:02
TXN0000037,U0142,31154.43,0.7475,BLOCK,ALLOW,1,2026-04-29 09:44:43
TXN0000037,U0142,31154.43,0.7475,BLOCK,SKIP,0,2026-04-29 12:36:56
TXN0000037,U0142,31154.43,0.7475,BLOCK,ALLOW,1,2026-05-11 11:33:43
TXN0000037,U0142,31154.43,0.7475,BLOCK,BLOCK,0,2026-05-11 12:57:23
TXN0000037,U0142,31154.43,0.7475,BLOCK,ALLOW,1,2026-05-11 13:25:28
