transaction_id,user_id,amount,risk_score,model_decision,human_decision,is_fp_correction,timestamp
TXN0000001,U0488,5919.47,0.6875,REVIEW,ALLOW,1,2026-04-29 02:07:41
TXN0000011,U0119,5379.97,0.4147,REVIEW,ALLOW,1,2026-04-29 02:07:43
TXN0000051,U0456,2727.21,0.5971,REVIEW,ALLOW,1,2026-04-29 02:07:48
TXN0000054,U0417,56950.57,0.6792,REVIEW,ALLOW,1,2026-04-29 02:07:50
TXN0000076,U0211,1365.34,0.7433,BLOCK,ALLOW,1,2026-04-29 02:07:52
TXN0000070,U0008,680.41,0.7123,BLOCK,ALLOW,1,2026-04-29 02:07:54
TXN0000105,U0252,50752.0,0.8101,BLOCK,ALLOW,1,2026-04-29 02:07:56
TXN0000037,U0142,31154.43,0.7475,BLOCK,ALLOW,1,2026-04-29 02:07:58
TXN0000053,U0090,1800.76,0.4775,REVIEW,ALLOW,1,2026-04-29 02:08:00
TXN0000056,U0340,44227.32,0.7621,BLOCK,BLOCK,0,2026-04-29 02:08:02
TXN0000083,U0463,48847.42,0.8152,BLOCK,BLOCK,0,2026-04-29 02:08:03
TXN0000090,U0345,43325.45,0.7894,BLOCK,BLOCK,0,2026-04-29 02:08:04
TXN0000107,U0310,5871.74,0.7602,BLOCK,ALLOW,1,2026-04-29 02:08:05
TXN0000113,U0148,5453.01,0.6717,REVIEW,SKIP,0,2026-04-29 02:08:06
TXN0000115,U0433,4576.92,0.4894,REVIEW,BLOCK,0,2026-04-29 02:08:07
TXN0000116,U0391,1028.04,0.7417,BLOCK,ALLOW,1,2026-04-29 02:08:08
TXN0000155,U0198,54307.34,0.7657,BLOCK,SKIP,0,2026-04-29 02:08:09
TXN0000164,U0377,35428.05,0.7733,BLOCK,BLOCK,0,2026-04-29 02:08:09
TXN0000178,U0486,3440.16,0.4047,REVIEW,ALLOW,1,2026-04-29 02:08:11
TXN0000001,U0488,5919.47,0.6875,REVIEW,ALLOW,1,2026-04-29 02:11:53
TXN0000011,U0119,5379.97,0.4147,REVIEW,ALLOW,1,2026-04-29 02:11:54
TXN0000037,U0142,31154.43,0.7475,BLOCK,ALLOW,1,2026-04-29 02:11:54
TXN0000051,U0456,2727.21,0.5971,REVIEW,ALLOW,1,2026-04-29 02:11:54
TXN0000053,U0090,1800.76,0.4775,REVIEW,ALLOW,1,2026-04-29 02:11:54
TXN0000054,U0417,56950.57,0.6792,REVIEW,ALLOW,1,2026-04-29 02:11:54
