transaction_id,user_id,amount,device,location,merchant,timestamp,login_attempts,balance,time_since_last_txn,txn_velocity,is_known_device,amount_to_balance_ratio,is_fraud,bucket
TXN0000000,U0407,9954.66,desktop_firefox,Bangalore,IRCTC,2024-03-28 11:54:12,1,35765.87,0.7335,3,1,0.278321,0,FP_ALLOW
TXN0000001,U0488,5919.47,desktop_chrome,Hyderabad,Zomato,2024-03-13 22:16:43,0,95399.69,12.3148,0,1,0.062049,0,TN
TXN0000002,U0024,19823.51,mobile_android,Ahmedabad,IRCTC,2024-01-24 18:31:28,2,151704.64,0.4545,4,0,0.130671,0,FP_REVIEW
TXN0000003,U0295,55263.36,mobile_android,Kolkata,Unknown_Merchant,2024-01-19 21:04:00,2,10628.97,0.1053,6,0,5.198826,0,FP_BLOCK
TXN0000004,U0003,78895.36,tablet,Delhi,Unknown_Merchant,2024-03-27 16:02:53,3,11050.38,0.0663,7,0,7.13896,1,TP
TXN0000005,U0357,48783.69,mobile_android,Ahmedabad,Unknown_Merchant,2024-02-20 06:55:44,5,14656.73,0.0742,7,0,3.328189,1,TP
TXN0000006,U0063,30736.7,tablet,Bangalore,Unknown_Merchant,2024-02-14 07:37:59,5,84723.26,0.0792,10,0,0.362785,1,TP
TXN0000007,U0305,6008.63,desktop_chrome,Ahmedabad,BigBasket,2024-01-31 19:21:28,0,118282.27,64.8046,1,1,0.050799,0,TN
TXN0000008,U0381,28329.89,desktop_firefox,Ahmedabad,Flipkart,2024-03-24 15:25:43,1,83384.18,0.2109,5,0,0.339747,0,FP_REVIEW
TXN0000009,U0399,11170.91,desktop_firefox,Ahmedabad,Amazon,2024-02-20 14:42:59,1,22209.75,2.2839,2,0,0.502951,0,FP_ALLOW
TXN0000010,U0121,55253.26,tablet,Pune,Unknown_Merchant,2024-01-27 09:08:31,5,104728.81,0.0197,6,0,0.527579,1,TP
TXN0000011,U0119,5379.97,mobile_ios,Bangalore,Amazon,2024-02-07 04:32:12,0,18817.65,30.532,1,1,0.285885,0,TN
TXN0000012,U0278,2902.93,mobile_ios,Kolkata,Amazon,2024-02-15 05:40:56,1,51388.49,43.6226,1,1,0.056489,1,FN
TXN0000013,U0300,59092.37,tablet,Mumbai,Unknown_Merchant,2024-03-08 12:41:09,4,24020.22,0.076,6,0,2.460007,1,TP
TXN0000014,U0153,60687.7,tablet,Kolkata,Unknown_Merchant,2024-03-14 03:43:27,5,27671.76,0.066,10,0,2.193048,1,TP
TXN0000015,U0460,40081.34,mobile_android,Ahmedabad,Unknown_Merchant,2024-01-22 09:53:32,4,20200.64,0.044,9,0,1.984064,1,TP
TXN0000016,U0200,64811.14,tablet,Kolkata,Unknown_Merchant,2024-02-02 15:14:18,2,47710.69,0.1379,5,0,1.358391,0,FP_BLOCK
TXN0000017,U0304,24721.64,tablet,Mumbai,Amazon,2024-02-24 19:07:43,1,69130.63,0.1727,4,0,0.357602,0,FP_REVIEW
TXN0000018,U0134,43567.74,tablet,Pune,Unknown_Merchant,2024-02-06 19:22:33,3,38627.26,0.119,7,0,1.127872,0,FP_BLOCK
TXN0000019,U0195,47927.54,mobile_android,Kolkata,ATM_Withdrawal,2024-01-28 00:23:05,3,24891.53,0.1174,5,0,1.925378,0,FP_BLOCK
TXN0000020,U0027,8275.56,desktop_firefox,Hyderabad,IRCTC,2024-02-03 23:28:00,0,92179.87,0.9984,1,0,0.089775,0,FP_ALLOW
TXN0000021,U0011,67311.65,mobile_android,Bangalore,Unknown_Merchant,2024-03-01 07:49:01,3,84180.97,0.0569,9,0,0.799597,1,TP
